Cueanexo,id_depto,Nombre
20039800,2000,ESCUELA INTEGRAL MAIMONIDES
20039900,2000,QUINTINO BOCAYUVA
20040000,2000,MUSEO DE BELLAS ARTES GRAL URQUIZA
20040100,2000,LICEO Nº 09 SANTIAGO DERQUI DE 10
20040200,2000,INSTITUTO BENITO NAZAR
20040300,2000,ESCUELA PARA EL HOMBRE NUEVO
20040400,2000,ROSARIO VERA PEÑALOZA
20040700,2000,INSTITUTO ARCANGEL SAN MIGUEL
20041000,2000,GERVASIO POSADAS
20041100,2000,INSTITUTO SAN ANTONIO DE PADUA
20041200,2000,INSTITUTO DON ORIONE
20041300,2000,ERNESTO A. BAVIO
20041400,2000,ESC. DE EDUC. MEDIA Nº 05 HEROES DE MALVINAS DE 10
20041500,2000,INSTITUTO INCORPORADO PATROCINIO DE SAN JOSE
20041700,2000,PADRE CASTAÑEDA
20041800,2000,DR ADOLFO SALDIAS
20041900,2000,FLORENCIO VARELA
20042000,2000,INSTITUTO CASA DE JESUS
20042100,2000,ESTEBAN ECHEVERRIA
20042200,2000,INSTITUTO FEDERICO GUILLERMO FRÖEBEL
20042400,2000,IFTS Nº 17 DE 01
20042500,2000,INSTITUTO ISABEL CONDE DE HERNANDEZ
20042600,2000,JIC N° 03 DE 19
20042700,2000,JII N° 02 JUAN M. COGHLAN DE 15
20042800,2000,CENTRO EDUCATIVO BUENOS AIRES
20043300,2000,GASPAR LUCILO BENAVENTO
20043700,2000,INSTITUTO HOGAR SAN BENITO
20043800,2000,DR GUILLERMO CORREA
20043900,2000,JII N° 01 JOSE FRANCISCO DE SAN MARTIN DE 06
20044000,2000,COLEGIO DEL TREBOL
20044100,2000,ENRIQUE BANCHS
20044200,2000,JIC Nº 05 DE 06
20044400,2000,JIN D DE 11 SIN FRONTERAS (ESC.PRIM. Nº 15 DE 11)
20044401,2000,JIN D DE 11 SIN FRONTERAS (ESC.PRIM. Nº 07 DE 11)
20044402,2000,JIN D DE 11 SIN FRONTERAS (ESC.PRIM. Nº 13 DE 11)
20044600,2000,INSTITUTO AMERICA DEL SUR
20044700,2000,GABRIELA MISTRAL
20045100,2000,IFTS Nº 20 HEROES DE MALVINAS DE 09
20045500,2000,ESC.INTEGRAL RABINO ELIAS SULI
20045600,2000,CELIA MARTINEZ DE VARELA
20045700,2000,INST.SAN FRANCISCO
20045800,2000,IFTS Nº 19 DE 06
20046000,2000,INSTITUTO  GRAL. SAN MARTIN
20046100,2000,CORONEL BRANDSEN
20046200,2000,PREFECTURA NAVAL ARGENTINA
20046300,2000,GREGORIA MATORRAS Y DEL SER DE SAN MARTIN
20046400,2000,COLEGIO INTEGRAL CABALLITO
20046700,2000,JIN A DE 10 (ESC. PRIM. Nº 09 DE 10)
20046702,2000,JIN A DE 10 (ESC. PRIM. Nº 10 DE 10)
20046703,2000,JIN A DE 10 (ESC. PRIM. Nº 20 DE 10)
20046900,2000,ESC. POLITECNICA MANUEL BELGRANO DE 04
20047000,2000,BERNARDO DE IRIGOYEN
20047200,2000,ESTADO PLURINACIONAL DE BOLIVIA
20047300,2000,SABINA BOVE DE BOZZALLA
20047400,2000,JOSE PEDRO VARELA
20047600,2000,LORENZO ANADON
20047700,2000,JIC N° 04 DE 05
20047800,2000,ESC. TEC. Nº 32 GRAL JOSE DE SAN MARTIN DE 14
20047900,2000,INSTITUTO SAN MARTIN DE TOURS
20048100,2000,DR. RAFAEL HERRERA VEGAS
20048300,2000,INSTITUTO PRIVADO COLEGIO BAYARD
20048400,2000,ARZOBISPO MARIANO ANTONIO ESPINOSA
20048500,2000,MIGUEL DE AZCUENAGA
20048600,2000,INSTITUTO NTA.SRA.DE GRACIA Y BUEN REMEDIO
20048700,2000,ESC.DE COM.Nº21 CAP.DE NAVIO HIPOLITO BOUCHARD DE11
20048900,2000,REPUBLICA DOMINICANA
20049000,2000,HERMINIA BRUMANA
20049100,2000,MAESTRO JORGE LUIS CHINETTI
20049200,2000,JIC Nº03 FRYDA SCHULTZ DE MANTOVANI DE 06
20049300,2000,INSTITUTO CAROLINA ESTRADA DE MARTINEZ
20049400,2000,ESC. DE COM. Nº 24 DALMACIO VELEZ SARSFIELD DE 14
20049500,2000,FRANCISCO BEIRO
20049600,2000,INSTITUTO SAN MAXILIMIANO KOLBE
20049700,2000,CARDENAL PACELLI
20049900,2000,ESC. TEC. Nº 31 MAESTRO QUINQUELA DE 04
20050000,2000,ESC. DE COM. Nº 07 MANUEL BELGRANO DE 10
20050200,2000,ESCUELA ARGENTINA GENERAL BELGRANO
20050300,2000,COLEGIO SAN JUAN EVANGELISTA
20050400,2000,HIPOLITO YRIGOYEN
20050600,2000,ESC. TEC. Nº 11 MANUEL BELGRANO DE 06
20050800,2000,INSTITUTO SANTA FELICITAS DE SAN VICENTE DE PAUL
20050900,2000,ESC. TEC. Nº 12 LIB. GRAL. SAN MARTIN DE 01
20051100,2000,COLEGIO INTERNACIONAL DE LAS ISLAS
20051200,2000,INSTITUTO SAN PIO X
20051300,2000,INST. SAN COSME Y SAN DAMIAN
20051400,2000,ARISTOBULO DEL VALLE
20051600,2000,GENERAL MARIANO ACHA
20051800,2000,ALTE. SEGUNDO R. STORNI
20051900,2000,RUBEN DARIO
20052000,2000,CARLOS DELLA PENNA
20052100,2000,INSTITUTO ZACCARIA
20052300,2000,REPUBLICA DE CHILE
20052400,2000,MARIANO MORENO
20052500,2000,INST  JOSEFA CAPDEVILLA DE GUTIERREZ
20052600,2000,ESCUELA DE MUSICA DE BS.AS
20052700,2000,INSTITUTO PRIVADO SAN BRENDANO
20052800,2000,HIPOLITO VIEYTES
20053000,2000,PROF. RODOLFO SENET
20053100,2000,ESC. DE ENFER. Y ESPEC. PARAM. DE LA CRUZ ROJA ARGENTINA
20053200,2000,BUENOS AIRES ENGLISH HIGH SCHOOL
20053300,2000,JOSE HERNANDEZ
20053400,2000,INSTITUTO MEKHITARISTA
20053500,2000,INSTITUTO ANUNCIACION DE MARIA
20053600,2000,ENS Nº 03 BERNARDINO RIVADAVIA DE 04
20053601,2000,ENS Nº 03 BERNARDINO RIVADAVIA DE13
20053602,2000,ENS N° 03 BERNARDINO RIVADAVIA DE 04
20053900,2000,ESC. CENTRAL DE ESP. PARAMEDICAS CRUZ ROJA ARGENT.
20054000,2000,ALMIRANTE GUILLERMO BROWN
20054100,2000,HOGAR DE LA INFANCIA DE LA BOCA
20054200,2000,JIC N° 02 CARLOS DELLA PENNA DE 04
20054300,2000,INSTITUTO PRIVADO SIMON BOLIVAR
20054400,2000,DR LUIS AGOTE
20054500,2000,INSTITUTO RESURRECCION DEL SEÑOR
20054600,2000,CARMEN CATREN DE MENDEZ CASARIEGO
20055400,2000,JIN D DE 13 (ESC. PRIM. Nº 01 DE 13)
20055401,2000,JIN D DE 13 (ESC. PRIM. Nº 06 DE 13)
20055402,2000,JIN D DE 13 (ESC. PRIM. Nº 07 DE 13)
20055403,2000,JIN D DE 13 (ESC. PRIM. Nº 21 DE 13)
20055404,2000,JIN D DE 13 (ESC. PRIM. Nº 24 DE 13)
20055500,2000,INST. HOGAR DE NIÑOS RAMON L. FALCON
20055600,2000,DRA. ELVIRA RAWSON DE DELLEPIANE
20055700,2000,PROF. JOSE ONAINDIA
20055800,2000,PABLO A. PIZZURNO
20055900,2000,EI Nº 06 MADRE EUFRASIA IACONIS DE 10
20056000,2000,INSTITUTO NTRA.SRA.DEL CARMEN
20056100,2000,INSTITUTO PRIVADO JESUS MARIA
20056200,2000,INSTITUTO SAN MARON
20056300,2000,ESC. DE COM. Nº 2 DR. ANTONIO BERMEJO DE 01
20056400,2000,INSTITUTO  A.B.M.
20056500,2000,INSTITUTO COLEGIO DE NUESTRA SEÑORA
20056600,2000,IGNACIO FERMIN RODRIGUEZ
20056700,2000,JOSE ENRIQUE RODO
20056800,2000,INSTITUTO INDUSTRIAL LUIS A.HUERGO
20057000,2000,SOLDADO DE MALVINAS
20057100,2000,INSTITUTO DON ORIONE
20057200,2000,INSTITUTO PADRE LUIS M. ETCHEVERRY BONEO
20057500,2000,INSTITUTO EDUCACIONAL SANTA TERESITA
20057800,2000,CORNELIO SAAVEDRA
20057900,2000,ASOCIACION ESCUELA CANGALLO
20058000,2000,JIN B DE 01 (ESC. PRIM. N° 14 DE 1)
20058001,2000,JIN B DE 01 (ESC. PRIM. N° 10 DE 1)
20058100,2000,ALFREDO RODOLFO BUFANO
20058200,2000,PROVINCIA DEL NEUQUEN
20058300,2000,ESC. TEC. Nº 01 INGENIERO OTTO KRAUSE DE 04
20058400,2000,INST. DE ENSEÑANZA SUP EN LENGUAS VIVAS JUAN R.FERNANDEZ DE 01
20058401,2000,INST. DE ENSEÑANZA SUP EN LENGUAS VIVAS JUAN R.FERNANDEZ DE 19
20058500,2000,INSTITUTO AEQUALIS
20058800,2000,INST INCORPORADO RABINO JOSE CARO
20058900,2000,PROVINCIA DE SAN LUIS
20059200,2000,CASTO MUNITA
20059300,2000,CNEL MAYOR IGNACIO ALVAREZ THOMAS
20059400,2000,INST.EDUC.ARG.NTRA.SRA.DE LUJAN
20059500,2000,JII Nº 01 QUINQUELA MARTIN DE 04
20059600,2000,AGUSTIN RAFAEL CAFFARENA
20059800,2000,CARMEN SONDA DE PANDOLFINI
20059900,2000,EJERCITO ARGENTINO
20060000,2000,INSTITUTO SAN VICENTE DE PAUL
20060100,2000,JOSE MARIA GUTIERREZ
20060200,2000,INST. INMACULADA CONCEPCION DE MARIA
20060300,2000,UNIVERSITAS ESTUDIOS SUPERIORES
20060500,2000,INSTITUTO CORAZON DE JESUS
20060600,2000,JII N 10 DE 04
20060700,2000,DR. GUILLERMO RAWSON
20061100,2000,LICEO Nº 05 P. GUAGLIANOME DE 11
20061200,2000,ESC.TEC.Nº 05 MARIA DE LOS REMEDIOS DE ESCALADA DE SAN MARTIN DE 11
20061300,2000,INSTITUTO SARA CHAMBERLAIN DE ECCLESTON
20061400,2000,INSTITUTO DAMASA ZELAYA DE SAAVEDRA
20061500,2000,CONGRESO DE TUCUMAN
20061600,2000,INSTITUTO CASA VERDE
20061700,2000,JIN B DE 05 (ESC. PRIM. N° 06 DE 05)
20061701,2000,JIN B DE 05 (ESC. PRIM. N° 04 DE 05)
20061703,2000,JIN B DE 05 (ESC. PRIM. N°18 DE 05)
20061704,2000,JIN B DE 05 (ESC. PRIM. N° 26 DE 05)
20061800,2000,SAN JUAN BOSCO
20061900,2000,HELENA LARROQUE DE ROFFO
20062000,2000,INSTITUTO NUESTRA SEÑORA DEL BUEN CONSEJO
20062100,2000,JII Nº 02 ANTONIO ABERASTAIN DE 05
20062200,2000,ESC. TEC. Nº 28 REPUBLICA FRANCESA DE 10
20062300,2000,ESC. DE COM. Nº 01 JOAQUIN V. GONZALEZ DE 04
20062400,2000,INSTITUTO LEONARDO SWORN
20062800,2000,COLEGIO Nº 01 BERNARDINO RIVADAVIA DE  03
20062900,2000,AGUSTIN ALVAREZ
20063000,2000,JII N° 01 JUANITO LAGUNA DE 03
20063100,2000,DR. RICARDO GUTIERREZ
20063200,2000,INSTITUTO ROSA ANCHORENA DE IBAÑEZ
20063300,2000,INSTITUTO LA PROVIDENCIA
20063500,2000,CARLOS PELLEGRINI
20063700,2000,ESC. DE COM. Nº 12 JUAN XXIII DE 21
20063800,2000,CRISTOBAL COLON
20063900,2000,EI N° 05 HEBE SAN MARTIN DUPRAT DE 21
20064100,2000,INST. OBRA DE LA CONSER. DE LA FE Nº 5 FUND. MACNAB BERNAL
20064200,2000,ESCUELA PRIMARIA SEPTIEMBRE JARDINAR
20064300,2000,INSTITUTO INTEGRAL TALPIOT
20064400,2000,PRESIDENTE MANUEL QUINTANA
20064500,2000,BERNARDINO RIVADAVIA
20064600,2000,WENCESLAO POSSE
20064700,2000,JIC N° 03 DE 01
20064800,2000,C.Y F.PIZARRO Y M.PIZARRO Y MONJE
20064900,2000,ESC. DE COM. Nº 06 AMERICA DE 13
20065000,2000,COLEGIO DON BOSCO
20065200,2000,ESC. DE COM. Nº 05 JOSE DE SAN MARTIN DE 03
20065300,2000,COLEGIO BUENOS AIRES S.R.L
20065400,2000,MANUEL DE SARRATEA
20065500,2000,INSTITUTO MARIA AUXILIADORA
20065600,2000,DR ANTONIO BERMEJO
20065800,2000,INSTITUTO SAN FRANCISCO DE SALES
20065900,2000,BRIG. GRAL. JOSE M. ZAPIOLA
20066000,2000,SALVADOR MARIA DEL CARRIL
20066100,2000,MARTINA SILVA DE GURRUCHAGA
20066200,2000,MONTE CASTRO
